,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9
M_DR_L034M1NAAA,57.568766000000004,42.431234,1.59971,89.886994,1.08,55.60653000000001,1.480359,83.181348,0.783673,44.034059,0.553333,108.435708,0.413333,0.086667,-113.483675,134.912275,246.98834700000003,-199.726122,-255.796477,-11.572736,-7.176239999999999,18.363,7.25,11.113,24.976018,91.859459,3.0926669999999996,-3.9123330000000003,7.005,32.247942,62.316635,7.000333,-8.594333,15.594667000000001,64.40001600000001,35.285345,43.338333,44.025,-8.769333,-0.451333,46.935333,-0.451333,55.70466700000001,3.321815,51.059577000000004,82.078028,57.568766000000004,-5.796667,4.802,-7.54,-7.099667,-6.580333,-10.468333,15.270332999999999,29.865243,38.036309,85.402794,64.31914300000001,13.768667,-5.215,18.983667,83.178771,39.276233000000005,9.011,29.673333000000003,3.8763330000000003,31.641666999999998,68.862,3.65,65.682333,42.189091999999995,42.270203,71.439814,97.863796,18.261667000000003,1.046333,17.215332999999998,82.243172,50.029839,14.08,-2.928,17.008,66.73612299999999,33.333333,-18.619,12.101333,-29.16,-30.595333,-21.881,-42.162333000000004,54.263667000000005,31.818775,57.105378,87.791514,62.163235,11.289333000000001,-21.816,33.105333,97.491446,25.638414
M_IZ_L035M1NAAA,60.034653000000006,39.965346999999994,0.97567,65.923649,0.993333,60.835437,0.991661,67.00410600000001,0.490597,33.148423,0.475,126.984127,0.453333,0.065,-83.750518,107.96880700000001,72.16565899999999,-148.177823,-98.09422099999999,-19.939974,8.245931,28.358,13.564667000000002,14.793332999999999,19.358921,82.559711,4.62,-12.604333,17.224332999999998,67.49197,48.357735999999996,0.78,-10.858667,11.638667,58.788171999999996,40.238642999999996,51.259667,51.529333,11.954333,15.945332999999998,52.411333,15.945332999999998,42.183667,3.986587,51.530246000000005,92.557713,60.034653000000006,1.377333,4.399333,-5.052333,-2.658,5.735666999999999,-12.384667,20.633333,48.628707,48.765359000000004,99.850523,78.487164,23.404332999999998,-5.947667,29.352,10.421078999999999,69.352479,35.249,49.910333,21.759667,49.815,64.601333,36.159333000000004,42.841667,42.636809,29.222755,81.8079,98.988951,0.372,-12.330333,12.702333,85.484033,55.329485,19.232667000000003,0.30733299999999997,18.925333,18.561398999999998,80.007568,-5.672667,9.77,-10.596,-11.139667,-5.175667,-17.476,27.246,12.880892999999999,59.527691000000004,93.423019,65.416438,1.393,-15.653667,17.046667000000003,70.636669,53.365141
M_DR_L035M1NAAA,54.942311,45.057689,0.9403299999999999,63.535810999999995,1.005,60.218113,0.952736,64.374054,0.485073,32.775225,0.518333,116.81989499999999,0.396667,0.078333,-81.409031,94.250434,63.238601,-140.958217,-61.940941,-30.907077,9.457349,28.358,14.777667000000001,13.580333,67.56203599999999,99.673621,14.293332999999999,0.401333,13.892,36.145883000000005,62.648174,13.184,1.9656669999999998,11.218333,27.069701000000002,46.541805,49.062667,50.944333,15.095,18.989,54.142332999999994,18.989,39.162,4.208946,48.335704,90.679627,54.942311,5.447667,19.038,4.389333000000001,15.235,15.509667000000002,-2.035333,21.116,42.861546000000004,4.262683999999999,56.842895999999996,88.121543,4.624333,-16.365,20.989333,15.186501999999999,62.976924,37.445333000000005,48.135,21.558,48.326667,63.434332999999995,37.175333,41.876333,54.260313000000004,29.315631,81.836573,99.824561,-4.576,-14.662,10.086,52.999052,5.573732,9.334333,-9.470667,18.805,25.612454999999997,60.062431000000004,-5.843333,6.497,-12.088,-12.360333,-7.177667,-21.388,27.885,12.009641,54.148095,94.590643,62.348664,-4.071667,-21.536,17.464333,69.31246999999999,59.553501000000004
M_IZ_L036M1NAAA,58.491659,41.508340999999994,1.50878,88.232749,0.991667,60.508666000000005,1.521492,88.976158,0.800687,46.823782,0.503333,119.22368700000001,0.415,0.08166699999999999,-98.445421,105.842638,211.225589,-150.401351,-138.359857,9.586452,55.591498,19.601667000000003,15.408332999999999,4.193333,35.603511,93.54254300000001,6.795,0.934667,5.860333,10.921512,59.32504399999999,6.617333,-0.882,7.499333,3.525433,65.4632,42.739333,43.023333,-0.163667,8.511667,42.164,8.511667,43.224,1.8579290000000002,49.576949,95.962585,58.491659,-1.8416669999999997,7.545667,-4.258333,-4.581333,-3.1086669999999996,-7.515,15.060667,40.504051000000004,39.320753,87.51751999999999,75.248299,-2.166667,-17.690667,15.524,46.541363,10.918948,7.392,40.414667,6.37,41.825666999999996,55.604667000000006,1.161667,54.443,57.98741999999999,19.52381,67.053567,95.28670600000001,6.304333,-3.413667,9.718,67.70061199999999,31.167315999999996,5.133,-10.101666999999999,15.234667000000002,11.423186999999999,61.6573,-0.005333,12.525667,-11.801333,-10.787333,4.808,-11.541333,25.294332999999998,40.16653,57.144771,90.95781600000001,59.491659,-5.537,-19.879333,14.342332999999998,61.935373999999996,76.63154200000001
M_DR_L036M1NAAA,59.827066,40.172934000000005,1.50017,87.72924,1.033333,58.066635999999995,1.4516200000000001,84.890041,0.687207,40.187523999999996,0.496667,120.888391,0.411667,0.091667,-117.229025,137.395983,244.127685,-138.12160500000002,-89.776252,-21.954068,55.911241000000004,22.432,16.483333,5.9486669999999995,11.291198,80.007002,-1.135,-6.887333,5.752333,9.040686,62.416146,0.366333,-6.162667,6.529,66.36491600000001,63.448154,46.555,48.027,-7.0976669999999995,4.033,43.532333,4.033,55.124667,4.682569,51.769822,92.89883,59.827066,-1.9593330000000002,1.6473330000000002,-9.332333,-9.707667,-4.071333,-12.958,14.605332999999998,11.137271,59.343177000000004,99.02439,66.12779599999999,9.846667,-4.086666999999999,13.933333,41.29391,33.033538,14.225333,36.730667,2.352667,38.541333,54.355667000000004,5.085,52.003,59.343177000000004,38.852608000000004,68.547239,95.482423,8.852,-1.6696669999999998,10.521666999999999,70.152103,36.114929,-0.863667,-14.212667000000001,13.349,28.849088000000002,30.112721,4.428,12.470667,-9.717333,-9.578667,7.1363330000000005,-10.877,23.733333,33.268634000000006,59.18292099999999,96.45329699999999,60.802676,-0.647667,-15.215,14.567332999999998,100.0,42.565957
M_IZ_L038M1NAAA,64.15791,35.84209,1.187163,67.46539200000001,1.065,56.34548,1.114783,63.351942,0.56242,31.961765999999997,0.555,108.11395800000001,0.361667,0.148333,-27.890096000000003,69.26530600000001,152.454851,-177.27314199999998,-128.510863,10.883808,45.283646000000005,17.637667,13.887332999999998,3.7503330000000004,69.304345,68.701095,6.485333,0.211333,6.274,18.621668,71.351752,6.929333,-2.6453330000000004,9.574667,44.942991,61.799935,36.485,36.583333,2.209,22.940667,42.675,22.940667,40.466,2.0634919999999997,49.919455,83.574596,64.15791,-5.765667,3.903,-7.290667,-5.461666999999999,-3.751667,-7.036,11.247,43.33265,41.494957,82.006173,92.183036,14.178,-5.204,19.382,64.931813,62.595077,6.886,54.724,0.008667,55.729667000000006,61.748332999999995,1.115667,61.739667000000004,63.688365000000005,37.543905,70.266537,97.176019,12.394333,2.602667,9.791667,81.531224,86.07161500000001,4.12,-18.027,22.147,10.429428,94.281305,-12.209667,12.982667,-26.174667000000003,-24.313667000000002,-10.185333,-24.313667000000002,39.157333,44.595721999999995,62.123295,90.620016,64.15791,11.501,-9.449333,20.950332999999997,97.037223,20.17736
M_DR_L038M1NAAA,66.769785,33.230215,1.211047,68.82220699999999,1.088333,55.138247,1.113281,63.26625500000001,0.624743,35.503626000000004,0.51,117.70053,0.38166700000000003,0.173333,-57.062776,104.280187,239.00367599999998,-156.997277,-93.172487,26.546673,8.961428999999999,19.150333,14.818332999999999,4.332,10.480836,57.577309,-0.398,-6.485333,6.087333,46.568036,71.39973499999999,2.597,-6.825667,9.422667,49.478654999999996,69.890649,42.052333000000004,42.191,3.523,21.857332999999997,41.623333,21.857332999999997,38.668,3.643282,52.991643,94.351555,66.769785,-5.194333,0.8506670000000001,-8.153333,-7.962667,-3.520667,-8.888667,9.979,46.260758,63.27376999999999,93.62391,69.729286,12.789333000000001,-4.779333,17.568667,15.227120999999999,69.050122,8.578333,56.717,3.6783330000000003,57.688667,60.57066700000001,3.9636669999999996,57.236,66.310299,41.96607,70.141254,96.78715799999999,8.322,-0.924667,9.246667,84.547388,67.68164300000001,12.999667,-5.606667,18.606333,8.114974,60.505878,-5.6586669999999994,18.242667,-10.272333,0.828333,6.766,-5.612,28.515,51.460883,2.305923,84.225981,94.989622,3.034667,-22.117667,25.152333,65.143213,73.051854
M_IZ_L040M1NAAA,60.774795,39.225204999999995,1.023547,79.986558,0.978333,61.438385,1.050365,82.08351,0.514727,40.224090000000004,0.49833299999999997,120.725554,0.355,0.116667,-96.778999,127.408491,273.016055,-214.564021,-125.731132,16.718836,35.631609000000005,19.879333,10.223666999999999,9.655667,65.691057,32.538194,3.960667,-6.468333,10.429,39.191140999999995,65.839783,11.288333,-9.553,20.841333,35.477917,47.786206,43.593666999999996,44.041667,1.068333,9.796667,48.821667,9.796667,47.753333000000005,1.8018020000000001,52.449052,90.054777,60.774795,-6.3636669999999995,3.7433330000000002,-9.229,-5.704333,-3.349333,-11.318,15.061333,30.130713,19.63964,78.536273,87.027027,19.137,3.5083330000000004,15.628667000000002,76.33926600000001,71.482611,11.150667,46.097,6.966,48.113,74.191333,10.988,67.22533299999999,60.26280799999999,27.390533,71.6826,97.61810600000001,13.430667000000001,-2.040667,15.471333,81.561971,58.667465,3.164,-21.018,24.182,72.605452,66.01626,-1.6856669999999998,12.646666999999999,-10.215,-6.728333,6.244333,-8.395,22.861667,40.616298,3.893761,92.832278,62.284431000000005,-12.106667,-26.202667,14.096,67.80184399999999,25.228081
M_DR_L040M1NAAA,62.898268,37.101732,1.0460200000000002,81.742386,0.956667,62.72274300000001,1.093805,85.476874,0.5154529999999999,40.280696999999996,0.471667,127.36603400000001,0.383333,0.115,-101.088185,118.407661,256.96045,-231.234938,-100.637574,-8.804405000000001,58.00889,21.424667000000003,12.722667,8.702,61.274285,68.839626,6.967333,-3.960667,10.928,16.23256,56.659290000000006,17.491667,-11.558,29.049667,67.0194,53.862607999999994,40.230667,43.157333,1.365667,8.710333,44.969333,8.710333,45.728667,4.723325,55.924067,93.3602,62.898268,-8.194,4.558333,-11.836667,-6.421667,-2.1623330000000003,-10.788,17.391667,34.576568,21.243523,77.66680600000001,93.125348,11.734333,-10.728333000000001,22.462667,61.94537,7.817569000000001,4.829,43.574333,4.409667,44.924,67.522,6.773,63.207333,48.833911,27.066371000000004,74.04003399999999,98.779211,14.149667,-0.287667,14.437332999999999,82.751246,57.296464,3.792333,-26.520667,30.313,73.866423,28.674676,-5.199,9.808,-13.511667000000001,-12.206667,6.039333,-13.284,24.588333,24.047373,61.328343000000004,96.34572800000001,64.113545,-4.990667,-35.910333,30.919666999999997,77.34934,20.58606
M_IZ_L041M1NAAA,62.893754,37.106246,1.064183,62.969428,1.111667,54.122726,0.960142,56.813140000000004,0.519437,30.735896999999998,0.555,108.276077,0.391667,0.165,-48.718857,77.496993,176.33346799999998,-149.69565500000002,-153.581946,20.607898000000002,54.480091,22.161333,18.723667000000003,3.437667,33.526844,78.350636,1.652,-5.767,7.419,17.732415,63.189502000000005,-0.627333,-9.366333000000001,8.739,35.703703999999995,52.312742,42.494333000000005,42.634,14.187,27.467333,45.515333,27.467333,31.328333,0.592593,50.721897,83.459485,62.893754,3.692,8.644333,-3.331667,-3.4636669999999996,3.514,-4.168667,12.830667,18.776304999999997,62.44273100000001,97.333333,64.388118,17.152,4.1666669999999995,12.985333,85.779285,78.772604,11.301333,51.958333,10.007333000000001,52.867332999999995,61.879,8.42,53.459,62.44273100000001,2.564841,70.72792700000001,94.902936,5.189333,-6.395,11.584333,82.325556,94.4711,-5.447667,-19.044,13.596333,74.973927,63.98684300000001,-3.1006669999999996,11.245333,-17.690333,-15.524,0.099333,-15.829667,29.425666999999997,42.880872,60.48364,94.142735,63.486346999999995,4.6363330000000005,-10.345,14.981333,93.96320300000001,33.394045
M_DR_L041M1NAAA,66.151515,33.848485,1.0547,62.408283999999995,1.161667,51.832612,0.9123399999999999,53.984591,0.544747,32.233531,0.556667,108.263305,0.411667,0.143333,-56.701161,83.89493,148.745981,-150.527485,-123.173093,19.357152,61.647565,23.859667,20.417333,3.442333,1.060606,56.73015899999999,5.227,-1.652,6.879,17.281866,69.0962,9.084333,0.904,8.180333000000001,100.0,40.655122999999996,42.806667,42.838333,10.627,20.970333,44.791333,20.970333,34.164333,0.606061,56.33718100000001,87.79509399999999,66.151515,1.174,7.964,-1.504,-1.6673330000000002,1.625667,-3.7193330000000002,11.683333,27.768639,45.126984,95.671477,70.95622900000001,4.006,-5.968,9.974,47.46176,78.783069,6.983667,41.171333000000004,6.802,42.147333,52.99166700000001,2.893333,50.098333000000004,65.719577,0.793651,74.279461,96.421356,4.631333000000001,-9.476666999999999,14.108,78.160173,96.28908100000001,-11.565,-21.061667,9.496667,78.173641,84.053872,0.941333,13.384332999999998,-12.218333,-9.371667,5.748,-9.371667,25.746,45.763829,63.20394399999999,90.63395899999999,66.151515,6.681667,-11.156333,17.838,91.661857,78.582973
M_IZ_L043M2NAAA,69.48659599999999,30.513403999999998,1.026027,61.073016,1.423333,42.239528,0.723313,43.054327,0.486443,28.954959999999996,0.636667,94.53041400000001,0.506667,0.28,-61.68790799999999,93.048755,162.464291,-121.90188899999998,-104.237392,22.459213000000002,74.833838,13.424,1.956333,11.467667,18.886576,48.606621999999994,0.712667,-3.427667,4.140333,60.534953,30.239724,15.76,3.678,12.082,26.807415999999996,87.350787,31.84,31.968333,-6.5963330000000004,14.161,34.026333,14.161,40.622667,2.060606,54.27304,88.219235,69.48659599999999,-6.748,3.954333,-7.547667,-2.555333,-2.455,-8.938667,13.276667000000002,58.950873,4.487462,78.423795,83.878023,1.837333,-12.521666999999999,14.359,9.965461999999999,82.818934,16.424332999999997,53.102332999999994,9.823333,54.182,59.959667,15.757333,50.136333,69.1346,37.619653,73.457363,95.820412,1.928333,-4.6123330000000005,6.540667,82.465451,61.70951899999999,4.928333,-6.256667,11.185,68.40005699999999,0.582341,12.185333,20.194333,-4.131333000000001,-2.724,15.681332999999999,-2.724,24.325667000000003,52.193985,48.639829,89.08860899999999,69.48659599999999,-1.6423330000000003,-18.360332999999997,16.718,84.028885,66.416024
